model_type,preproc_type,tuning_type,metric,estimator,n_folds,best_fold,mean,min,max,sd,range,model_cat,preproc_cat,metric_cat,metric_cat_short,model_pre_label,model_pre_order,model_pre_cat,model_pre_cat_rev
random_forest,naive,bayes_tune,accuracy,binary,5,2,0.8292113306510273,0.8282391646326369,0.8303286477450884,8.632838075475034e-4,0.0020894831124514956,Random Forest,All covariates,Accuracy,Accu.,"Random Forest, All covariates",12,"Random Forest, All covariates","Random Forest, All covariates"
logistic_elasticnet,nocountynoucr,bayes_tune,accuracy,binary,5,2,0.8081796959565012,0.8068572310755382,0.8093513020008465,0.0010806766633780114,0.0024940709253082893,Logistic (ElasticNet),"No county, no contributing cause",Accuracy,Accu.,"Logistic (ElasticNet), No county, no contributing cause",13,"Logistic (ElasticNet), No county, no contributing cause","Logistic (ElasticNet), No county, no contributing cause"
logistic_elasticnet,nocounty,bayes_tune,accuracy,binary,5,1,0.808207910482723,0.8068385987420513,0.8095141765062871,0.0011378107071081886,0.0026755777642357703,Logistic (ElasticNet),No county,Accuracy,Accu.,"Logistic (ElasticNet), No county",14,"Logistic (ElasticNet), No county","Logistic (ElasticNet), No county"
logistic_elasticnet,noucr,bayes_tune,accuracy,binary,5,1,0.8099955489736668,0.8080709945141087,0.8110526708048081,0.0012823105784193858,0.002981676290699453,Logistic (ElasticNet),No contributing causes,Accuracy,Accu.,"Logistic (ElasticNet), No contributing causes",15,"Logistic (ElasticNet), No contributing causes","Logistic (ElasticNet), No contributing causes"
logistic_elasticnet,naive,bayes_tune,accuracy,binary,5,1,0.8102840837412183,0.8084516264696253,0.8114758898246436,0.0011953696877863482,0.003024263355018264,Logistic (ElasticNet),All covariates,Accuracy,Accu.,"Logistic (ElasticNet), All covariates",16,"Logistic (ElasticNet), All covariates","Logistic (ElasticNet), All covariates"
xgboost,nocountynoucr,bayes_tune,sens,binary,5,1,0.7883849211895388,0.7873167683535405,0.7895260452573982,0.0010168725892384734,0.0022092769038577487,XGBoost,"No county, no contributing cause",Sensitivity,Sens.,"XGBoost, No county, no contributing cause",1,"XGBoost, No county, no contributing cause","XGBoost, No county, no contributing cause"
xgboost,nocounty,bayes_tune,sens,binary,5,4,0.7888149645193554,0.7872299801254958,0.7899385493443513,0.0011400468502299798,0.002708569218855428,XGBoost,No county,Sensitivity,Sens.,"XGBoost, No county",2,"XGBoost, No county","XGBoost, No county"
xgboost,noucr,bayes_tune,sens,binary,5,2,0.7883176112145832,0.7864575648958975,0.7895838217544956,0.0011522881155510375,0.003126256858598131,XGBoost,No contributing causes,Sensitivity,Sens.,"XGBoost, No contributing causes",3,"XGBoost, No contributing causes","XGBoost, No contributing causes"
xgboost,naive,bayes_tune,sens,binary,5,2,0.7868223195491518,0.7834783443436979,0.788402927922061,0.0019340942307863296,0.0049245835783631176,XGBoost,All covariates,Sensitivity,Sens.,"XGBoost, All covariates",4,"XGBoost, All covariates","XGBoost, All covariates"
lightgbm,nocountynoucr,bayes_tune,sens,binary,5,3,0.7820482468979552,0.7807647192702953,0.7828438074173408,8.466232614626766e-4,0.0020790881470454936,LightGBM,"No county, no contributing cause",Sensitivity,Sens.,"LightGBM, No county, no contributing cause",5,"LightGBM, No county, no contributing cause","LightGBM, No county, no contributing cause"
lightgbm,nocounty,bayes_tune,sens,binary,5,3,0.7829552269064401,0.7818239114830442,0.7844199270282743,9.663218009813853e-4,0.002596015545230146,LightGBM,No county,Sensitivity,Sens.,"LightGBM, No county",6,"LightGBM, No county","LightGBM, No county"
lightgbm,noucr,bayes_tune,sens,binary,5,3,0.7798547319048478,0.779097470088752,0.7809803289823144,7.481848866899482e-4,0.0018828588935624335,LightGBM,No contributing causes,Sensitivity,Sens.,"LightGBM, No contributing causes",7,"LightGBM, No contributing causes","LightGBM, No contributing causes"
lightgbm,naive,bayes_tune,sens,binary,5,2,0.7779053001857419,0.7763988092655112,0.7791554872489516,0.00106174617798704,0.00275667798344037,LightGBM,All covariates,Sensitivity,Sens.,"LightGBM, All covariates",8,"LightGBM, All covariates","LightGBM, All covariates"
