fips,reporting_ratio,reporting_ratio_lower,reporting_ratio_upper,color
48405,1.5789473684210527,0.6842105263157895,3.5789473684210527,#F46D43
48407,1.8888888888888888,0.7777777777777778,3.9444444444444446,#D73027
48409,4.0227272727272725,3.1136363636363638,4.886363636363637,#A50026
48411,5.5,2,10.5,#A50026
48413,3.5,1.5,6,#A50026
48415,0.9827586206896551,0.8103448275862069,1.2241379310344827,#66BD63
48417,2,1,3,#D73027
48419,2.608695652173913,1.4782608695652173,4.043478260869565,#A50026
48421,0.3333333333333333,0,1,#006837
48423,1.2063574778530484,1.1542470036477332,1.2714955706096926,#FDAE61
48425,1.3571428571428572,0.8928571428571429,2.1785714285714284,#F46D43
48427,2.396039603960396,1.5940594059405941,3.396039603960396,#D73027
48429,2.9285714285714284,1.9285714285714286,3.9285714285714284,#A50026
48431,0.3333333333333333,0,2,#006837
48433,0.5,0,2,#006837
48435,4.5,2.5,6.5,#A50026
48437,2.3333333333333335,1,4,#D73027
48439,1.3152829880932964,1.2625999021366825,1.3702495514597945,#F46D43
48441,1.1844181459566074,1.0996055226824457,1.2938856015779092,#FDAE61
48443,Inf,NA,Inf,#A50026
48445,1.7692307692307692,1.0769230769230769,2.6153846153846154,#D73027
48447,1,1,2,#FDAE61
48449,1.2975206611570247,1.0578512396694215,1.628099173553719,#F46D43
48451,1.1099476439790577,1.0104712041884816,1.2024432809773125,#FDAE61
48453,1.1228160328879753,1.0688591983556013,1.1891058581706064,#FDAE61
48455,2.3125,0.75,4.5,#D73027
48457,1.4210526315789473,0.5789473684210527,3.3157894736842106,#F46D43
48459,2.8333333333333335,1.875,4.125,#A50026
48461,1.7142857142857142,1,2.5714285714285716,#F46D43
48463,1.5064935064935066,1.1688311688311688,1.9350649350649352,#F46D43
48465,1.5206611570247934,1.2396694214876034,1.7603305785123966,#F46D43
48467,2.4909090909090907,1.6727272727272726,3.4363636363636365,#D73027
48469,1.6503267973856208,1.526143790849673,1.7712418300653594,#F46D43
48471,2.2949640287769784,1.7266187050359711,3.035971223021583,#D73027
48473,3.7777777777777777,2.888888888888889,4.722222222222222,#A50026
48475,2.75,1.6666666666666667,4,#A50026
48477,1.1866666666666668,0.7733333333333333,1.6933333333333334,#FDAE61
48479,1.2296222664015906,1.1550695825049702,1.3041749502982107,#FDAE61
48481,2.5930232558139537,2.116279069767442,3.197674418604651,#A50026
48483,1,0.7272727272727273,1.7272727272727273,#FDAE61
48485,1.2183406113537119,1.0829694323144106,1.3755458515283843,#FDAE61
48487,1.6911764705882353,1.411764705882353,2.0441176470588234,#F46D43
48489,3.888888888888889,2.4444444444444446,5.777777777777778,#A50026
48491,1.0764647467725919,0.9860973187686196,1.1787487586891758,#FDAE61
48493,2.557142857142857,1.7285714285714286,3.657142857142857,#A50026
48495,2.4,1.6,3.3,#D73027
48497,1.0040485829959513,0.8866396761133604,1.2186234817813766,#FDAE61
48499,0.9841269841269841,0.47619047619047616,2.4603174603174605,#66BD63
48501,1.2,1.05,1.55,#FDAE61
48503,1.7333333333333334,1.2,2.3555555555555556,#F46D43
48505,2.625,1.75,3.875,#A50026
48507,8,4.5,12.5,#A50026
49001,1.1666666666666667,0.8333333333333334,1.9166666666666667,#FDAE61
49003,1.7446808510638299,0.9787234042553191,3.4893617021276597,#F46D43
49005,0.9583333333333334,0.7638888888888888,1.1944444444444444,#66BD63
49007,1.5675675675675675,1.0810810810810811,2.189189189189189,#F46D43
49009,2,1,5,#D73027
49011,1.3015267175572518,1.0458015267175573,1.6526717557251909,#F46D43
49013,1.5384615384615385,1.1153846153846154,2.1153846153846154,#F46D43
49015,1.2,0.4,2.6,#FDAE61
49017,1.5,1.1666666666666667,2,#F46D43
49019,0.8571428571428571,0.7142857142857143,1.1428571428571428,#66BD63
49021,1.3703703703703705,1.0740740740740742,1.8518518518518519,#F46D43
49023,1.1428571428571428,0.7142857142857143,2,#FDAE61
49025,0.8,0.6,1,#66BD63
49027,1.6363636363636365,1.1818181818181819,2.4545454545454546,#F46D43
49029,0.6,0,2.4,#006837
49031,0.3333333333333333,0.3333333333333333,1.3333333333333333,#006837
49033,Inf,Inf,Inf,#A50026
49035,1.1467084639498433,1.0570532915360502,1.2658307210031348,#FDAE61
49037,0.9473684210526315,0.5263157894736842,1.631578947368421,#66BD63
49039,1.391304347826087,0.9130434782608695,2.0869565217391304,#F46D43
49041,1.1333333333333333,0.5333333333333333,2.1333333333333333,#FDAE61
49043,1.2222222222222223,0.8888888888888888,1.8888888888888888,#FDAE61
49045,2.3636363636363638,1.3272727272727274,3.8,#D73027
49047,2.185185185185185,1.2962962962962963,3.5555555555555554,#D73027
49049,1.0394218134034166,0.9421813403416557,1.1892247043363995,#FDAE61
49051,1.1538461538461537,0.8461538461538461,1.6153846153846154,#FDAE61
49053,1.1258426966292134,1.0337078651685394,1.2719101123595506,#FDAE61
49055,Inf,NA,Inf,#A50026
49057,1.1771300448430493,1.0403587443946187,1.3565022421524664,#FDAE61
50001,1.3333333333333333,1.0666666666666667,2,#F46D43
50003,0.5675675675675675,0.43243243243243246,0.8918918918918919,#006837
50005,0.8,0.65,0.9,#66BD63
50007,0.7151162790697675,0.5755813953488372,1.005813953488372,#006837
50009,0.9310344827586207,0.8620689655172413,1,#66BD63
50011,0.7906976744186046,0.6511627906976745,1.3488372093023255,#66BD63
50013,0.5,0.3333333333333333,0.8333333333333334,#006837
50015,0.9166666666666666,0.8333333333333334,1,#66BD63
50017,0.4444444444444444,0.4444444444444444,0.5555555555555556,#006837
50019,0.7222222222222222,0.5,0.8888888888888888,#006837
50021,0.8205128205128205,0.7435897435897436,1.0769230769230769,#66BD63
50023,0.7575757575757576,0.6363636363636364,0.9393939393939394,#66BD63
50025,0.5882352941176471,0.4117647058823529,0.8823529411764706,#006837
50027,0.5555555555555556,0.4074074074074074,0.7777777777777778,#006837
51001,0.8873239436619719,0.8591549295774648,0.9436619718309859,#66BD63
51003,0.6910112359550562,0.6685393258426966,0.7303370786516854,#006837
